January 2 2004,Lenawee
January 2 2004,Oceana
January 2 2004,Kent
January 2 2004,Wayne
January 2 2004,Oakland
January 2 2004,Genesee
January 2 2004,Wayne
January 2 2004,Saginaw
January 2 2004,Wayne
January 2 2004,Ottawa
January 2 2004,Barry
January 2 2004,Roscommon
January 2 2004,Wayne
January 2 2004,Saginaw
January 2 2004,Genesee
January 2 2004,Branch
January 2 2004,Wayne
January 2 2004,Mason
January 2 2004,Bay
January 2 2004,Otsego
January 3 2004,Allegan
January 3 2004,Lenawee
January 3 2004,Kalamazoo
January 3 2004,Jackson
January 3 2004,Cass
January 3 2004,Wayne
January 3 2004,Ottawa
January 3 2004,Isabella
January 3 2004,Washtenaw
January 3 2004,Ogemaw
January 3 2004,Ottawa
January 3 2004,Alpena
January 3 2004,Cheboygan
January 3 2004,Macomb
January 3 2004,Ottawa
January 3 2004,Wayne
January 3 2004,Livingston
January 3 2004,Wayne
January 3 2004,Macomb
January 3 2004,Bay
January 3 2004,Wexford
January 5 2004,Ottawa
January 5 2004,Kalamazoo
January 5 2004,Roscommon
January 5 2004,Oakland
January 5 2004,Wayne
January 5 2004,Ottawa
January 5 2004,Ottawa
January 5 2004,Saginaw
January 5 2004,Isabella
January 5 2004,Allegan
January 5 2004,Antrim
January 5 2004,Kent
January 5 2004,Eaton
January 5 2004,Berrien
January 5 2004,St. Clair
January 5 2004,Allegan
January 5 2004,Bay
January 5 2004,Kent
January 5 2004,Otsego
January 7 2004,Lapeer
January 7 2004,Oakland
January 7 2004,Oakland
January 7 2004,Genesee
January 7 2004,Oakland
January 7 2004,Oakland
January 7 2004,Ontonagon
January 7 2004,Cass
January 7 2004,Wayne
January 7 2004,Berrien
January 7 2004,Kent
January 7 2004,Shiawassee
January 7 2004,Tuscola
January 7 2004,Wayne
January 7 2004,St. Clair
January 7 2004,Ogemaw
January 7 2004,Macomb
January 7 2004,Wayne
January 7 2004,Clinton
January 9 2004,Kent
January 9 2004,Kalamazoo
January 9 2004,Kalamazoo
January 9 2004,Jackson
January 9 2004,Kalamazoo
January 9 2004,Jackson
January 9 2004,Muskegon
January 9 2004,Muskegon
January 9 2004,Kent
January 9 2004,Oakland
January 9 2004,Oakland
January 9 2004,Oakland
January 9 2004,Clinton
January 9 2004,Wayne
January 9 2004,Wayne
January 9 2004,Genesee
January 9 2004,Ontonagon
January 9 2004,Montcalm
January 9 2004,Newaygo
January 10 2004,Kalamazoo
January 10 2004,Jackson
January 10 2004,Kalamazoo
January 10 2004,Kalamazoo
January 10 2004,Kalamazoo
January 10 2004,Oakland
January 10 2004,Oakland
January 10 2004,Oakland
January 10 2004,Wayne
January 10 2004,Genesee
January 10 2004,Van Buren
January 10 2004,Kent
January 10 2004,Gratiot
January 10 2004,St. Joseph
January 10 2004,Barry
January 10 2004,Oceana
January 10 2004,Tuscola
January 10 2004,Clinton
January 10 2004,Clinton
January 10 2004,Cass
January 10 2004,Cass
January 10 2004,Barry
January 10 2004,Wayne
January 10 2004,Kent
January 10 2004,Monroe
January 10 2004,Iosco
January 10 2004,St. Clair
January 10 2004,Ottawa
January 10 2004,Washtenaw
January 10 2004,St. Clair
January 10 2004,Chippewa
January 10 2004,Macomb
January 10 2004,Wayne
January 10 2004,Iron
January 10 2004,Allegan
January 10 2004,Clinton
January 12 2004,Wayne
